county,candidate,votes,district,party,office
Warren,Joseph Deters,36524,,R,Treasure of State
Washington,Joseph Deters,9302,,R,Treasure of State
Wayne,Joseph Deters,17750,,R,Treasure of State
Williams,Joseph Deters,6781,,R,Treasure of State
Wood,Joseph Deters,20723,,R,Treasure of State
Wyandot,Joseph Deters,3936,,R,Treasure of State
Adams,Robert Martin,0,,WI,Treasure of State
Allen,Robert Martin,0,,WI,Treasure of State
Ashland,Robert Martin,0,,WI,Treasure of State
Ashtabula,Robert Martin,0,,WI,Treasure of State
Athens,Robert Martin,0,,WI,Treasure of State
Auglaize,Robert Martin,0,,WI,Treasure of State
Belmont,Robert Martin,0,,WI,Treasure of State
Brown,Robert Martin,0,,WI,Treasure of State
Butler,Robert Martin,0,,WI,Treasure of State
Carroll,Robert Martin,0,,WI,Treasure of State
Champaign,Robert Martin,0,,WI,Treasure of State
Clark,Robert Martin,1,,WI,Treasure of State
Clermont,Robert Martin,0,,WI,Treasure of State
Clinton,Robert Martin,0,,WI,Treasure of State
Columbiana,Robert Martin,0,,WI,Treasure of State
Coshocton,Robert Martin,0,,WI,Treasure of State
Crawford,Robert Martin,0,,WI,Treasure of State
Cuyahoga,Robert Martin,6,,WI,Treasure of State
Darke,Robert Martin,0,,WI,Treasure of State
Defiance,Robert Martin,0,,WI,Treasure of State
Delaware,Robert Martin,0,,WI,Treasure of State
Erie,Robert Martin,1,,WI,Treasure of State
Fairfield,Robert Martin,0,,WI,Treasure of State
Fayette,Robert Martin,0,,WI,Treasure of State
Franklin,Robert Martin,1,,WI,Treasure of State
Fulton,Robert Martin,0,,WI,Treasure of State
Gallia,Robert Martin,0,,WI,Treasure of State
Geauga,Robert Martin,5,,WI,Treasure of State
Greene,Robert Martin,0,,WI,Treasure of State
Guernsey,Robert Martin,0,,WI,Treasure of State
Hamilton,Robert Martin,1,,WI,Treasure of State
Hancock,Robert Martin,4,,WI,Treasure of State
Hardin,Robert Martin,1,,WI,Treasure of State
Harrison,Robert Martin,0,,WI,Treasure of State
Henry,Robert Martin,0,,WI,Treasure of State
Highland,Robert Martin,0,,WI,Treasure of State
Hocking,Robert Martin,0,,WI,Treasure of State
Holmes,Robert Martin,0,,WI,Treasure of State
Huron,Robert Martin,0,,WI,Treasure of State
Jackson,Robert Martin,0,,WI,Treasure of State
Jefferson,Robert Martin,1,,WI,Treasure of State
Knox,Robert Martin,0,,WI,Treasure of State
Lake,Robert Martin,3,,WI,Treasure of State
Lawrence,Robert Martin,0,,WI,Treasure of State
Licking,Robert Martin,1,,WI,Treasure of State
Logan,Robert Martin,0,,WI,Treasure of State
Lorain,Robert Martin,0,,WI,Treasure of State
Lucas,Robert Martin,4,,WI,Treasure of State
Madison,Robert Martin,0,,WI,Treasure of State
Mahoning,Robert Martin,69,,WI,Treasure of State
Marion,Robert Martin,0,,WI,Treasure of State
Medina,Robert Martin,1,,WI,Treasure of State
Meigs,Robert Martin,0,,WI,Treasure of State
Mercer,Robert Martin,0,,WI,Treasure of State
Miami,Robert Martin,0,,WI,Treasure of State
Monroe,Robert Martin,0,,WI,Treasure of State
Montgomery,Robert Martin,0,,WI,Treasure of State
Morgan,Robert Martin,0,,WI,Treasure of State
Morrow,Robert Martin,1,,WI,Treasure of State
Muskingum,Robert Martin,0,,WI,Treasure of State
Noble,Robert Martin,0,,WI,Treasure of State
Ottawa,Robert Martin,1,,WI,Treasure of State
Paulding,Robert Martin,0,,WI,Treasure of State
Perry,Robert Martin,0,,WI,Treasure of State
Pickaway,Robert Martin,0,,WI,Treasure of State
Pike,Robert Martin,0,,WI,Treasure of State
Portage,Robert Martin,2,,WI,Treasure of State
Preble,Robert Martin,0,,WI,Treasure of State
Putnam,Robert Martin,0,,WI,Treasure of State
Richland,Robert Martin,0,,WI,Treasure of State
Ross,Robert Martin,0,,WI,Treasure of State
Sandusky,Robert Martin,0,,WI,Treasure of State
Scioto,Robert Martin,0,,WI,Treasure of State
Seneca,Robert Martin,0,,WI,Treasure of State
Shelby,Robert Martin,0,,WI,Treasure of State
Stark,Robert Martin,0,,WI,Treasure of State
Summit,Robert Martin,2,,WI,Treasure of State
Trumbull,Robert Martin,0,,WI,Treasure of State
Tuscarawas,Robert Martin,0,,WI,Treasure of State
Union,Robert Martin,1,,WI,Treasure of State
Van Wert,Robert Martin,0,,WI,Treasure of State
Vinton,Robert Martin,0,,WI,Treasure of State
Warren,Robert Martin,0,,WI,Treasure of State
Washington,Robert Martin,0,,WI,Treasure of State
Wayne,Robert Martin,0,,WI,Treasure of State
Williams,Robert Martin,0,,WI,Treasure of State
Wood,Robert Martin,2,,WI,Treasure of State
Wyandot,Robert Martin,0,,WI,Treasure of State
Hamilton,Sandra Hall,9118,33,R,State Representative
Hamilton,Tyrone Yates,18532,33,D,State Representative
Hamilton,Tom Brinkman Jr.,23748,34,R,State Representative
Hamilton,Dave Schaff,13896,34,D,State Representative
Hamilton,Michelle Schneider,17996,35,R,State Representative
Warren,Michelle Schneider,13834,35,R,State Representative
Portage,Michael Grimm,4738,43,D,State Representative
Summit,Michael Grimm,13442,43,D,State Representative
Portage,Mary Taylor,5735,43,R,State Representative
Summit,Mary Taylor,15278,43,R,State Representative
Huron,Kenneth Bailey,5992,58,D,State Representative
Lorain,Kenneth Bailey,6157,58,D,State Representative
Seneca,Kenneth Bailey,1129,58,D,State Representative
Huron,Kathleen Walcher,9201,58,R,State Representative
Lorain,Kathleen Walcher,7469,58,R,State Representative
Seneca,Kathleen Walcher,1695,58,R,State Representative
Carroll,John Boccieri,4827,61,D,State Representative
Mahoning,John Boccieri,6242,61,D,State Representative
Stark,John Boccieri,6039,61,D,State Representative
Tuscarawas,John Boccieri,2996,61,D,State Representative
Carroll,Randy Pope,3880,61,R,State Representative
Mahoning,Randy Pope,3620,61,R,State Representative
Stark,Randy Pope,4270,61,R,State Representative
Tuscarawas,Randy Pope,1183,61,R,State Representative
Clermont,Jean Schmidt,23606,66,R,State Representative
Defiance,Stephen Buehrer,8002,74,R,State Representative
Fulton,Stephen Buehrer,10492,74,R,State Representative
Williams,Stephen Buehrer,8985,74,R,State Representative
Defiance,James Hoops,297,75,R,State Representative
Henry,James Hoops,8056,75,R,State Representative
Paulding,James Hoops,4530,75,R,State Representative
Putnam,James Hoops,10192,75,R,State Representative
Van Wert,James Hoops,7578,75,R,State Representative
Auglaize,Mike Gilb,2963,76,R,State Representative
Hancock,Mike Gilb,14944,76,R,State Representative
Hardin,Mike Gilb,4534,76,R,State Representative
Auglaize,Kenneth Ludwig,1218,76,D,State Representative
Hancock,Kenneth Ludwig,5244,76,D,State Representative
Hardin,Kenneth Ludwig,3662,76,D,State Representative
Darke,Benjamin Amstutz,2829,77,D,State Representative
Mercer,Benjamin Amstutz,3172,77,D,State Representative
Preble,Benjamin Amstutz,3482,77,D,State Representative
Darke,Keith Faber,9145,77,R,State Representative
Mercer,Keith Faber,11742,77,R,State Representative
Preble,Keith Faber,7466,77,R,State Representative
Auglaize,John Adams,3500,78,R,State Representative
Champaign,John Adams,5250,78,R,State Representative
Shelby,John Adams,5880,78,R,State Representative
Auglaize,Derrick Seaver,5818,78,D,State Representative
Champaign,Derrick Seaver,5375,78,D,State Representative
Shelby,Derrick Seaver,9241,78,D,State Representative
Darke,Diana Fessler,3847,79,R,State Representative
Miami,Diana Fessler,19946,79,R,State Representative
Darke,Carol McKeever,1488,79,D,State Representative
Miami,Carol McKeever,9317,79,D,State Representative
Erie,J. Tom Lendrum,11025,80,R,State Representative
Ottawa,J. Tom Lendrum,4837,80,R,State Representative
Erie,Chris Redfern,13760,80,D,State Representative
Ottawa,Chris Redfern,6875,80,D,State Representative
Ottawa,James Melle,1394,81,D,State Representative
Sandusky,James Melle,8748,81,D,State Representative
Seneca,James Melle,6301,81,D,State Representative
Ottawa,Jeff Wagner,1764,81,R,State Representative
Sandusky,Jeff Wagner,10071,81,R,State Representative
Seneca,Jeff Wagner,7521,81,R,State Representative
Crawford,Steven Chaffin,3732,82,D,State Representative
Marion,Steven Chaffin,4395,82,D,State Representative
Wyandot,Steven Chaffin,1724,82,D,State Representative
Crawford,Steve Reinhard,9409,82,R,State Representative
Marion,Steve Reinhard,5836,82,R,State Representative
Wyandot,Steve Reinhard,4460,82,R,State Representative
Logan,Anthony Core,9154,83,R,State Representative
Marion,Anthony Core,4373,83,R,State Representative
Union,Anthony Core,8429,83,R,State Representative
Logan,Stacy Roberts,3425,83,D,State Representative
Marion,Stacy Roberts,2561,83,D,State Representative
Union,Stacy Roberts,3345,83,D,State Representative
Clark,Natalie Tackett,5286,84,D,State Representative
Greene,Natalie Tackett,4479,84,D,State Representative
Madison,Natalie Tackett,3209,84,D,State Representative
Clark,Chris Widener,6845,84,R,State Representative
Greene,Chris Widener,7784,84,R,State Representative
Madison,Chris Widener,7101,84,R,State Representative
Fayette,John Schlichter,4640,85,R,State Representative
Pickaway,John Schlichter,3322,85,R,State Representative
Ross,John Schlichter,7032,85,R,State Representative
Fayette,Joseph Sulzer,1934,85,D,State Representative
Pickaway,Joseph Sulzer,2124,85,D,State Representative
Ross,Joseph Sulzer,8672,85,D,State Representative
Clinton,David Daniels,6983,86,R,State Representative
Highland,David Daniels,7202,86,R,State Representative
Pike,David Daniels,3594,86,R,State Representative
Clinton,Bill Horne,2645,86,,State Representative
Highland,Bill Horne,3586,86,,State Representative
Pike,Bill Horne,3402,86,,State Representative
Gallia,Fred Deel,4400,87,D,State Representative
Jackson,Fred Deel,3850,87,D,State Representative
Lawrence,Fred Deel,3017,87,D,State Representative
Ross,Fred Deel,1273,87,D,State Representative
Vinton,Fred Deel,1776,87,D,State Representative
Gallia,Clyde Evans,5121,87,R,State Representative
Jackson,Clyde Evans,5088,87,R,State Representative
Lawrence,Clyde Evans,4412,87,R,State Representative
Ross,Clyde Evans,1375,87,R,State Representative
Vinton,Clyde Evans,2000,87,R,State Representative
Adams,Tom Niehaus,3029,88,R,State Representative
Brown,Tom Niehaus,9004,88,R,State Representative
Clermont,Tom Niehaus,10697,88,R,State Representative
Adams,Todd Book,1028,89,D,State Representative
Lawrence,Todd Book,4157,89,D,State Representative
Scioto,Todd Book,14152,89,D,State Representative
Adams,Harold Sayre,1599,89,R,State Representative
Lawrence,Harold Sayre,3790,89,R,State Representative
Scioto,Harold Sayre,8167,89,R,State Representative
Ashland,Thom Collier,2405,90,R,State Representative
Knox,Thom Collier,10037,90,R,State Representative
Morrow,Thom Collier,5432,90,R,State Representative
Richland,Thom Collier,3617,90,R,State Representative
Ashland,Howard Hoffman,1213,90,D,State Representative
Knox,Howard Hoffman,3690,90,D,State Representative
Morrow,Howard Hoffman,3456,90,D,State Representative
Richland,Howard Hoffman,2275,90,D,State Representative
Hocking,Brad Gothard,2765,91,D,State Representative
Licking,Brad Gothard,3150,91,D,State Representative
Perry,Brad Gothard,3482,91,D,State Representative
Pickaway,Brad Gothard,1842,91,D,State Representative
Hocking,Larry Householder,4713,91,R,State Representative
Licking,Larry Householder,7949,91,R,State Representative
Perry,Larry Householder,5671,91,R,State Representative
Pickaway,Larry Householder,4147,91,R,State Representative
Athens,James Pancake,8182,92,D,State Representative
Meigs,James Pancake,2259,92,D,State Representative
Morgan,James Pancake,1739,92,D,State Representative
Washington,James Pancake,1835,92,D,State Representative
Athens,Jimmy Stewart,8060,92,R,State Representative
Meigs,Jimmy Stewart,4750,92,R,State Representative
Morgan,Jimmy Stewart,2958,92,R,State Representative
Washington,Jimmy Stewart,3655,92,R,State Representative
Guernsey,Nancy Hollister,6259,93,R,State Representative
Monroe,Nancy Hollister,2054,93,R,State Representative
Muskingum,Nancy Hollister,902,93,R,State Representative
Noble,Nancy Hollister,2611,93,R,State Representative
Washington,Nancy Hollister,8362,93,R,State Representative
Guernsey,William Moore,4340,93,D,State Representative
Monroe,William Moore,3075,93,D,State Representative
Muskingum,William Moore,362,93,D,State Representative
Noble,William Moore,1641,93,D,State Representative
Washington,William Moore,4719,93,D,State Representative
Coshocton,Jim Aslanides,8450,94,R,State Representative
Muskingum,Jim Aslanides,15506,94,R,State Representative
Belmont,John Domenick,8109,95,D,State Representative
Jefferson,John Domenick,13245,95,D,State Representative
Belmont,Frank Sentich Jr.,3960,95,R,State Representative
Jefferson,Frank Sentich Jr.,10212,95,R,State Representative
Belmont,Greg Erb,2522,96,R,State Representative
Harrison,Greg Erb,2036,96,R,State Representative
Tuscarawas,Greg Erb,8839,96,R,State Representative
Belmont,Charlie Wilson,6309,96,D,State Representative
Harrison,Charlie Wilson,3643,96,D,State Representative
Tuscarawas,Charlie Wilson,11888,96,D,State Representative
Ashland,Bob Gibbs,6375,97,R,State Representative
Holmes,Bob Gibbs,4697,97,R,State Representative
Medina,Bob Gibbs,7110,97,R,State Representative
Ashland,Thomas Mason,4728,97,D,State Representative
Holmes,Thomas Mason,1468,97,D,State Representative
Medina,Thomas Mason,4743,97,D,State Representative
Cuyahoga,Meg Cacciacarro,2876,98,D,State Representative
Geauga,Meg Cacciacarro,8596,98,D,State Representative
Cuyahoga,Timothy Grendell,4056,98,R,State Representative
Geauga,Timothy Grendell,22307,98,R,State Representative
Ashtabula,L. George Distel,17918,99,D,State Representative
Trumbull,L. George Distel,841,99,D,State Representative
Ashtabula,Robert Rennie,8909,99,R,State Representative
Trumbull,Robert Rennie,836,99,R,State Representative
Ashtabula,Donald Rogers,1,99,WI,State Representative
Trumbull,Donald Rogers,11,99,WI,State Representative
Butler,Steve Chabot,6195,1,R,US Representative
Hamilton,Steve Chabot,104565,1,R,US Representative
Butler,Greg Harris,1881,1,D,US Representative
Hamilton,Greg Harris,58287,1,D,US Representative
Adams,James Condit Jr.,0,2,WI,US Representative
Brown,James Condit Jr.,0,2,WI,US Representative
Clermont,James Condit Jr.,6,2,WI,US Representative
Hamilton,James Condit Jr.,7,2,WI,US Representative
Pike,James Condit Jr.,0,2,WI,US Representative
Scioto,James Condit Jr.,0,2,WI,US Representative
Warren,James Condit Jr.,0,2,WI,US Representative
Adams,Rob Portman,4938,2,R,US Representative
Brown,Rob Portman,8651,2,R,US Representative
Clermont,Rob Portman,34058,2,R,US Representative
Hamilton,Rob Portman,63037,2,R,US Representative
Pike,Rob Portman,3441,2,R,US Representative
Scioto,Rob Portman,6299,2,R,US Representative
Warren,Rob Portman,18794,2,R,US Representative
Adams,Charles Sanders,2033,2,D,US Representative
Brown,Charles Sanders,3052,2,D,US Representative
Clermont,Charles Sanders,9142,2,D,US Representative
Hamilton,Charles Sanders,20198,2,D,US Representative
Pike,Charles Sanders,4110,2,D,US Representative
Scioto,Charles Sanders,5980,2,D,US Representative
Warren,Charles Sanders,4270,2,D,US Representative
Clinton,Rick Carne,3190,3,D,US Representative
Highland,Rick Carne,4007,3,D,US Representative
Montgomery,Rick Carne,64407,3,D,US Representative
Warren,Rick Carne,6703,3,D,US Representative
Clinton,Michael Turner,7028,3,R,US Representative
Highland,Michael Turner,6816,3,R,US Representative
Montgomery,Michael Turner,78533,3,R,US Representative
Warren,Michael Turner,19253,3,R,US Representative
Clinton,Ronald Williamitis,2,3,WI,US Representative
Highland,Ronald Williamitis,0,3,WI,US Representative
Montgomery,Ronald Williamitis,10,3,WI,US Representative
Warren,Ronald Williamitis,2,3,WI,US Representative
Allen,Jim Clark,9956,4,D,US Representative
Auglaize,Jim Clark,3752,4,D,US Representative
Champaign,Jim Clark,3811,4,D,US Representative
Hancock,Jim Clark,5787,4,D,US Representative
Hardin,Jim Clark,2994,4,D,US Representative
Logan,Jim Clark,3186,4,D,US Representative
Marion,Jim Clark,6074,4,D,US Representative
Morrow,Jim Clark,3163,4,D,US Representative
Richland,Jim Clark,13794,4,D,US Representative
Shelby,Jim Clark,4119,4,D,US Representative
Wyandot,Jim Clark,1090,4,D,US Representative
Allen,Michael Oxley,19872,4,R,US Representative
Auglaize,Michael Oxley,9933,4,R,US Representative
Champaign,Michael Oxley,6488,4,R,US Representative
Hancock,Michael Oxley,14729,4,R,US Representative
Hardin,Michael Oxley,5412,4,R,US Representative
Logan,Michael Oxley,9330,4,R,US Representative
Marion,Michael Oxley,11407,4,R,US Representative
Morrow,Michael Oxley,6303,4,R,US Representative
Richland,Michael Oxley,23721,4,R,US Representative
Shelby,Michael Oxley,10497,4,R,US Representative
Wyandot,Michael Oxley,2309,4,R,US Representative
Ashland,Roger Anderson,1118,5,D,US Representative
Crawford,Roger Anderson,3660,5,D,US Representative
Defiance,Roger Anderson,3071,5,D,US Representative
Fulton,Roger Anderson,3283,5,D,US Representative
Henry,Roger Anderson,1877,5,D,US Representative
Huron,Roger Anderson,3927,5,D,US Representative
Lucas,Roger Anderson,1698,5,D,US Representative
Mercer,Roger Anderson,884,5,D,US Representative
Paulding,Roger Anderson,1888,5,D,US Representative
Putnam,Roger Anderson,2385,5,D,US Representative
Sandusky,Roger Anderson,5460,5,D,US Representative
Seneca,Roger Anderson,4586,5,D,US Representative
Van Wert,Roger Anderson,1906,5,D,US Representative
Williams,Roger Anderson,2637,5,D,US Representative
Wood,Roger Anderson,12795,5,D,US Representative
Wyandot,Roger Anderson,697,5,D,US Representative
Ashland,Paul Gillmor,1892,5,R,US Representative
Crawford,Paul Gillmor,8574,5,R,US Representative
Defiance,Paul Gillmor,7093,5,R,US Representative
Fulton,Paul Gillmor,8791,5,R,US Representative
Henry,Paul Gillmor,6813,5,R,US Representative
Huron,Paul Gillmor,10317,5,R,US Representative
Lucas,Paul Gillmor,3536,5,R,US Representative
Mercer,Paul Gillmor,2536,5,R,US Representative
Paulding,Paul Gillmor,4035,5,R,US Representative
Putnam,Paul Gillmor,9402,5,R,US Representative
Sandusky,Paul Gillmor,12500,5,R,US Representative
Seneca,Paul Gillmor,11415,5,R,US Representative
Van Wert,Paul Gillmor,6696,5,R,US Representative
Williams,Paul Gillmor,7906,5,R,US Representative
Wood,Paul Gillmor,22703,5,R,US Representative
Wyandot,Paul Gillmor,2077,5,R,US Representative
Ashland,John Green,293,5,,US Representative
Crawford,John Green,813,5,,US Representative
Defiance,John Green,536,5,,US Representative
Fulton,John Green,716,5,,US Representative
Henry,John Green,482,5,,US Representative
Huron,John Green,709,5,,US Representative
Lucas,John Green,391,5,,US Representative
Mercer,John Green,222,5,,US Representative
Paulding,John Green,292,5,,US Representative
Putnam,John Green,586,5,,US Representative
Sandusky,John Green,950,5,,US Representative
Seneca,John Green,837,5,,US Representative
Van Wert,John Green,517,5,,US Representative
Williams,John Green,647,5,,US Representative
Wood,John Green,1921,5,,US Representative
Wyandot,John Green,184,5,,US Representative
Athens,Mike Halleck,3292,6,R,US Representative
Belmont,Mike Halleck,4878,6,R,US Representative
Columbiana,Mike Halleck,15415,6,R,US Representative
Gallia,Mike Halleck,3832,6,R,US Representative
Jefferson,Mike Halleck,8806,6,R,US Representative
Lawrence,Mike Halleck,6548,6,R,US Representative
Mahoning,Mike Halleck,18194,6,R,US Representative
Meigs,Mike Halleck,2948,6,R,US Representative
Monroe,Mike Halleck,1445,6,R,US Representative
Noble,Mike Halleck,2090,6,R,US Representative
Scioto,Mike Halleck,2544,6,R,US Representative
Washington,Mike Halleck,7651,6,R,US Representative
Athens,Ted Strickland,8227,6,D,US Representative
Belmont,Ted Strickland,11582,6,D,US Representative
Columbiana,Ted Strickland,15503,6,D,US Representative
Gallia,Ted Strickland,5653,6,D,US Representative
Jefferson,Ted Strickland,14661,6,D,US Representative
Lawrence,Ted Strickland,9253,6,D,US Representative
Mahoning,Ted Strickland,20818,6,D,US Representative
Meigs,Ted Strickland,4151,6,D,US Representative
Monroe,Ted Strickland,3716,6,D,US Representative
Noble,Ted Strickland,2210,6,D,US Representative
Scioto,Ted Strickland,7106,6,D,US Representative
Washington,Ted Strickland,11092,6,D,US Representative
Clark,Kara Anastasio,10915,7,D,US Representative
Fairfield,Kara Anastasio,8900,7,D,US Representative
Fayette,Kara Anastasio,1292,7,D,US Representative
Franklin,Kara Anastasio,7625,7,D,US Representative
Greene,Kara Anastasio,9969,7,D,US Representative
Perry,Kara Anastasio,3366,7,D,US Representative
Pickaway,Kara Anastasio,2880,7,D,US Representative
Ross,Kara Anastasio,621,7,D,US Representative
Clark,Frank Doden,2023,7,,US Representative
Fairfield,Frank Doden,1759,7,,US Representative
Fayette,Frank Doden,270,7,,US Representative
Franklin,Frank Doden,1268,7,,US Representative
Greene,Frank Doden,2214,7,,US Representative
Perry,Frank Doden,591,7,,US Representative
Pickaway,Frank Doden,587,7,,US Representative
Ross,Frank Doden,100,7,,US Representative
Clark,Dave Hobson,26093,7,R,US Representative
Fairfield,Dave Hobson,27338,7,R,US Representative
Fayette,Dave Hobson,4979,7,R,US Representative
Franklin,Dave Hobson,9807,7,R,US Representative
Greene,Dave Hobson,30821,7,R,US Representative
Perry,Dave Hobson,4547,7,R,US Representative
Pickaway,Dave Hobson,8046,7,R,US Representative
Ross,Dave Hobson,1621,7,R,US Representative
Butler,John Boehner,56928,8,R,US Representative
Darke,John Boehner,13368,8,R,US Representative
Mercer,John Boehner,8969,8,R,US Representative
Miami,John Boehner,21133,8,R,US Representative
Montgomery,John Boehner,11358,8,R,US Representative
Preble,John Boehner,8191,8,R,US Representative
Butler,Jeff Hardenbrook,22071,8,D,US Representative
Darke,Jeff Hardenbrook,4228,8,D,US Representative
Mercer,Jeff Hardenbrook,2422,8,D,US Representative
Miami,Jeff Hardenbrook,8486,8,D,US Representative
Montgomery,Jeff Hardenbrook,8946,8,D,US Representative
Preble,Jeff Hardenbrook,3291,8,D,US Representative
Erie,Ed Emery,9472,9,R,US Representative
Lorain,Ed Emery,8777,9,R,US Representative
Lucas,Ed Emery,23230,9,R,US Representative
Ottawa,Ed Emery,5002,9,R,US Representative
Erie,Marcy Kaptur,14116,9,D,US Representative
Lorain,Marcy Kaptur,12040,9,D,US Representative
Lucas,Marcy Kaptur,96410,9,D,US Representative
Ottawa,Marcy Kaptur,9670,9,D,US Representative
Delaware,Edward Brown,8784,12,D,US Representative
Franklin,Edward Brown,47315,12,D,US Representative
Licking,Edward Brown,8608,12,D,US Representative
Delaware,Pat Tiberi,30397,12,R,US Representative
Franklin,Pat Tiberi,64214,12,R,US Representative
Licking,Pat Tiberi,22371,12,R,US Representative
Cuyahoga,Sherrod Brown,17932,13,D,US Representative
Lorain,Sherrod Brown,41165,13,D,US Representative
Medina,Sherrod Brown,9556,13,D,US Representative
Summit,Sherrod Brown,54372,13,D,US Representative
Cuyahoga,Ed Oliveros,12153,13,R,US Representative
Lorain,Ed Oliveros,14822,13,R,US Representative
Medina,Ed Oliveros,4543,13,R,US Representative
Summit,Ed Oliveros,23839,13,R,US Representative
Ashtabula,Dale Blanchard,9438,14,D,US Representative
Cuyahoga,Dale Blanchard,4276,14,D,US Representative
Geauga,Dale Blanchard,7274,14,D,US Representative
Lake,Dale Blanchard,14485,14,D,US Representative
Portage,Dale Blanchard,2906,14,D,US Representative
Summit,Dale Blanchard,12157,14,D,US Representative
Trumbull,Dale Blanchard,1310,14,D,US Representative
Ashtabula,Steven LaTourette,17901,14,R,US Representative
Cuyahoga,Steven LaTourette,11738,14,R,US Representative
Geauga,Steven LaTourette,23730,14,R,US Representative
Lake,Steven LaTourette,50721,14,R,US Representative
Portage,Steven LaTourette,6227,14,R,US Representative
Summit,Steven LaTourette,22138,14,R,US Representative
Trumbull,Steven LaTourette,1958,14,R,US Representative
Ashtabula,Sid Stone,16,14,WI,US Representative
Cuyahoga,Sid Stone,1,14,WI,US Representative
Geauga,Sid Stone,25,14,WI,US Representative
Lake,Sid Stone,65,14,WI,US Representative
Portage,Sid Stone,0,14,WI,US Representative
Summit,Sid Stone,5,14,WI,US Representative
Trumbull,Sid Stone,1,14,WI,US Representative
Franklin,Mark Brown,48742,15,D,US Representative
Madison,Mark Brown,2615,15,D,US Representative
Union,Mark Brown,2929,15,D,US Representative
Franklin,Deborah Pryce,91242,15,R,US Representative
Madison,Deborah Pryce,7848,15,R,US Representative
Union,Deborah Pryce,9103,15,R,US Representative
Ashland,Ralph Regula,8174,16,R,US Representative
Medina,Ralph Regula,20692,16,R,US Representative
Stark,Ralph Regula,77801,16,R,US Representative
Wayne,Ralph Regula,23067,16,R,US Representative
Ashland,Jim Rice,3170,16,D,US Representative
Medina,Jim Rice,10311,16,D,US Representative
Stark,Jim Rice,37718,16,D,US Representative
Wayne,Jim Rice,7445,16,D,US Representative
Mahoning,Timothy Ryan,24235,17,D,US Representative
Portage,Timothy Ryan,14379,17,D,US Representative
Summit,Timothy Ryan,18593,17,D,US Representative
Trumbull,Timothy Ryan,37234,17,D,US Representative
Mahoning,James Traficant Jr.,9838,17,,US Representative
Portage,James Traficant Jr.,3308,17,,US Representative
Summit,James Traficant Jr.,3040,17,,US Representative
Trumbull,James Traficant Jr.,11859,17,,US Representative
Mahoning,Ann Womer Benjamin,13057,17,R,US Representative
Portage,Ann Womer Benjamin,14956,17,R,US Representative
Summit,Ann Womer Benjamin,13137,17,R,US Representative
Trumbull,Ann Womer Benjamin,21038,17,R,US Representative
Athens,Bob Ney,2611,18,R,US Representative
Belmont,Bob Ney,3821,18,R,US Representative
Carroll,Bob Ney,6831,18,R,US Representative
Coshocton,Bob Ney,8373,18,R,US Representative
Guernsey,Bob Ney,9072,18,R,US Representative
Harrison,Bob Ney,4710,18,R,US Representative
Hocking,Bob Ney,4801,18,R,US Representative
Holmes,Bob Ney,4875,18,R,US Representative
Jackson,Bob Ney,5802,18,R,US Representative
Knox,Bob Ney,9551,18,R,US Representative
Licking,Bob Ney,11787,18,R,US Representative
Morgan,Bob Ney,3677,18,R,US Representative
Muskingum,Bob Ney,18631,18,R,US Representative
Ross,Bob Ney,9044,18,R,US Representative
Tuscarawas,Bob Ney,19798,18,R,US Representative
Vinton,Bob Ney,2162,18,R,US Representative
Auglaize,William Flanary,1280,1,D,State Senate
Defiance,William Flanary,4417,1,D,State Senate
Fulton,William Flanary,4083,1,D,State Senate
Hancock,William Flanary,5407,1,D,State Senate
Hardin,William Flanary,3045,1,D,State Senate
Henry,William Flanary,2913,1,D,State Senate
Paulding,William Flanary,2538,1,D,State Senate
Putnam,William Flanary,3256,1,D,State Senate
Van Wert,William Flanary,2424,1,D,State Senate
Williams,William Flanary,3740,1,D,State Senate
Auglaize,Lynn Wachtmann,2916,1,R,State Senate
Defiance,Lynn Wachtmann,6297,1,R,State Senate
Fulton,Lynn Wachtmann,8524,1,R,State Senate
Hancock,Lynn Wachtmann,14409,1,R,State Senate
Hardin,Lynn Wachtmann,5002,1,R,State Senate
Henry,Lynn Wachtmann,6203,1,R,State Senate
Paulding,Lynn Wachtmann,3666,1,R,State Senate
Putnam,Lynn Wachtmann,9228,1,R,State Senate
Van Wert,Lynn Wachtmann,6673,1,R,State Senate
Williams,Lynn Wachtmann,7228,1,R,State Senate
Darke,Mike Osgood,3975,5,R,State Senate
Miami,Mike Osgood,19935,5,R,State Senate
Montgomery,Mike Osgood,17249,5,R,State Senate
Darke,Tom Roberts,1466,5,D,State Senate
Miami,Tom Roberts,9257,5,D,State Senate
Montgomery,Tom Roberts,34689,5,D,State Senate
Hamilton,Tony Fischer,17907,7,D,State Senate
Warren,Tony Fischer,12325,7,D,State Senate
Hamilton,Robert Schuler,40528,7,R,State Senate
Warren,Robert Schuler,34787,7,R,State Senate
Huron,Jeffry Armbruster,9121,13,R,State Senate
Lorain,Jeffry Armbruster,36978,13,R,State Senate
Seneca,Jeffry Armbruster,1758,13,R,State Senate
Huron,Sue Morano,5773,13,D,State Senate
Lorain,Sue Morano,40610,13,D,State Senate
Seneca,Sue Morano,1102,13,D,State Senate
Clinton,John Carey Jr.,6861,17,R,State Senate
Fayette,John Carey Jr.,4026,17,R,State Senate
Gallia,John Carey Jr.,6170,17,R,State Senate
Highland,John Carey Jr.,6360,17,R,State Senate
Jackson,John Carey Jr.,6350,17,R,State Senate
